,token_str,pos,n
1199,s,RB,1
1200,been,VBN,4
1201,there,RB,5
1202,two,CD,3
1203,years,NNS,5
1204,and,CC,3
1205,knows,VBZ,5
1206,everything,NN,10
1207,there,EX,5
1208,is,VBZ,2
1209,to,TO,2
1210,know,VB,4
1211,about,IN,5
1212,the,DT,3
1213,town,NN,4
1215,She,PRP,3
1217,s,PRP,1
1218,a,DT,1
1219,swell,NN,5
1220,girl.,NN,5
1222,I,PRP,1
1223,was,VBD,3
1224,kicked,VBN,6
1225,again,RB,5
1226,under,IN,5
1227,the,DT,3
1228,table,NN,5
1229,and,CC,3
1231,looking,VBG,7
1233,saw,VBD,3
1234,Frances,NNP,7
1236,Robert,NNP,6
1238,s,NN,1
1239,lady,NN,4
1241,her,PRP$,3
1242,chin,JJ,4
1243,lifting,NN,7
1244,and,CC,3
1245,her,PRP$,3
1246,face,NN,4
1247,hardening,NN,9
1250,Hell,NNP,4
1253,I,PRP,1
1254,said,VBD,4
1257,why,WRB,3
1258,go,VBP,2
1259,to,TO,2
1260,Strasbourg,NNP,10
1262,We,PRP,2
1263,could,MD,5
1264,go,VB,2
1265,up,RP,2
1266,to,TO,2
1267,Bruges,NNP,6
1269,or,CC,2
1270,to,TO,2
1271,the,DT,3
1272,Ardennes.,NNP,9
1274,Cohn,NNP,4
1275,looked,VBD,6
1276,relieved,VBN,8
1278,I,PRP,1
1279,was,VBD,3
1280,not,RB,3
1281,kicked,VBN,6
1282,again,RB,5
1284,I,PRP,1
1285,said,VBD,4
1286,good-night,NN,10
1287,and,CC,3
1288,went,VBD,4
1289,out,RP,3
1291,Cohn,NNP,4
1292,said,VBD,4
1293,he,PRP,2
1294,wanted,VBD,6
1295,to,TO,2
1296,buy,VB,3
1297,a,DT,1
1298,paper,NN,5
1299,and,CC,3
1300,would,MD,5
1301,walk,VB,4
1302,to,TO,2
1303,the,DT,3
1304,corner,NN,6
1305,with,IN,4
1306,me,PRP,2
1309,For,IN,3
1310,God,NNP,3
1312,s,VBD,1
1313,sake,NN,4
1316,he,PRP,2
1317,said,VBD,4
1320,why,WRB,3
1321,did,VBD,3
1322,you,PRP,3
1323,say,VB,3
1324,that,IN,4
1325,about,RB,5
1326,that,DT,4
1327,girl,NN,4
1328,in,IN,2
1329,Strasbourg,NNP,10
1330,for,IN,3
1332,Didn,NNP,4
1334,t,NN,1
1335,you,PRP,3
1336,see,VBP,3
1337,Frances,NNS,7
1341,No,NNP,2
1343,why,WRB,3
1344,should,MD,6
1345,I,PRP,1
1347,If,IN,2
1348,I,PRP,1
1349,know,VBP,4
1350,an,DT,2
1351,American,JJ,8
1352,girl,NN,4
1353,that,WDT,4
1354,lives,VBZ,5
1355,in,IN,2
1356,Strasbourg,NNP,10
1357,what,WP,4
1358,the,DT,3
1359,hell,NN,4
1360,is,VBZ,2
1361,it,PRP,2
1362,to,TO,2
1363,Frances,NNP,7
1367,It,PRP,2
1368,doesn,VBZ,5
1370,t,NNS,1
1371,make,VBP,4
1372,any,DT,3
1373,difference,NN,10
1375,Any,DT,3
1376,girl,NN,4
1378,I,PRP,1
1379,couldn,VBP,6
1381,t,NN,1
1382,go,VB,2
1384,that,WDT,4
1385,would,MD,5
1386,be,VB,2
1387,all.,JJ,4
1390,Don,NNP,3
1392,t,NN,1
1393,be,VB,2
1394,silly.,VBN,6
1397,You,PRP,3
1398,don,VBP,3
1400,t,NN,1
1401,know,VBP,4
1402,Frances,NNS,7
1404,Any,DT,3
1405,girl,NN,4
1406,at,IN,2
1407,all,DT,3
1409,Didn,NNP,4
1411,t,NN,1
1412,you,PRP,3
1413,see,VBP,3
1414,the,DT,3
1415,way,NN,3
1416,she,PRP,3
1417,looked,VBD,6
1421,Oh,NNP,2
1423,well,RB,4
1426,I,PRP,1
1427,said,VBD,4
1430,let,VBD,3
1432,s,VB,1
1433,go,VB,2
1434,to,TO,2
1435,Senlis.,NNP,7
1438,Don,NNP,3
1440,t,NN,1
1441,get,NN,3
1442,sore.,JJ,5
1445,I,PRP,1
1447,m,RB,1
1448,not,RB,3
1449,sore,RB,4
1451,Senlis,NNP,6
1452,is,VBZ,2
1453,a,DT,1
1454,good,JJ,4
1455,place,NN,5
1456,and,CC,3
1457,we,PRP,2
1458,can,MD,3
1459,stay,VB,4
1460,at,IN,2
1461,the,DT,3
1462,Grand,NNP,5
1463,Cerf,NNP,4
1464,and,CC,3
1465,take,VB,4
1466,a,DT,1
1467,hike,NN,4
1468,in,IN,2
1469,the,DT,3
1470,woods,NNS,5
1471,and,CC,3
1472,come,VB,4
1473,home.,NN,5
1476,Good,NNP,4
1478,that,WDT,4
1479,will,MD,4
1480,be,VB,2
1481,fine.,JJ,5
1484,Well,NNP,4
1486,I,PRP,1
1488,ll,JJ,2
1489,see,VBP,3
1490,you,PRP,3
1491,to-morrow,VBP,9
1492,at,IN,2
1493,the,DT,3
1494,courts,NNS,6
1497,I,PRP,1
1498,said,VBD,4
1501,Good-night,NNP,10
1503,Jake,NNP,4
1506,he,PRP,2
1507,said,VBD,4
1509,and,CC,3
1510,started,VBD,7
1511,back,RB,4
1512,to,TO,2
1513,the,DT,3
1514,café,NN,4
1517,You,PRP,3
1518,forgot,VBP,6
1519,to,TO,2
1520,get,VB,3
1521,your,PRP$,4
1522,paper,NN,5
1525,I,PRP,1
1526,said,VBD,4
1529,That,IN,4
1531,s,VBD,1
1532,so.,JJ,3
1534,He,PRP,2
1535,walked,VBD,6
1536,with,IN,4
1537,me,PRP,2
1538,up,IN,2
1539,to,TO,2
1540,the,DT,3
1541,kiosque,NN,7
1542,at,IN,2
1543,the,DT,3
1544,corner,NN,6
1547,You,PRP,3
1548,are,VBP,3
1549,not,RB,3
1550,sore,RB,4
1552,are,VBP,3
1553,you,PRP,3
1555,Jake,VB,4
1558,He,PRP,2
1559,turned,VBD,6
1560,with,IN,4
1561,the,DT,3
1562,paper,NN,5
1563,in,IN,2
1564,his,PRP$,3
1565,hand,NN,4
1568,No,NNP,2
1570,why,WRB,3
1571,should,MD,6
1572,I,PRP,1
1573,be,VB,2
1577,See,NNP,3
1578,you,PRP,3
1579,at,IN,2
